Unnamed: 0,region_1,region_2
273,Amador County,Sierra Foothills
274,Russian River Valley,Sonoma
275,Sonoma Coast,Sonoma
276,Alto Adige,
277,,
278,,
279,Santa Maria Valley,Central Coast
280,Soave Classico,
281,Alto Adige,
282,Cahors,
283,Graves,
284,Mount Veeder,Napa
285,Monterey County,Central Coast
286,Santenay,
287,Côtes du Tarn,
288,Pouilly-Fuissé,
289,Willamette Valley,Willamette Valley
290,Clos de Vougeot,
291,,
292,Oregon,Oregon Other
293,Paso Robles,Central Coast
294,Jurançon Sec,
295,Napa Valley,Napa
296,Alto Adige,
297,Alto Adige,
298,Carneros,Napa-Sonoma
299,Clear Lake,Mendocino/Lake Counties
300,Walla Walla Valley (WA),Columbia Valley
301,Napa Valley,Napa
302,Amarone della Valpolicella Classico,
303,Napa Valley,Napa
304,Santa Maria Valley,Central Coast
305,,
306,Dundee Hills,Willamette Valley
307,Anderson Valley,Mendocino/Lake Counties
308,Fort Ross-Seaview,Sonoma
309,Willamette Valley,Willamette Valley
310,Russian River Valley,Sonoma
311,Soave Classico,
312,Soave Classico,
313,Napa Valley,Napa
314,Dundee Hills,Willamette Valley
315,Mount Veeder,Napa
316,Carneros,Napa-Sonoma
317,Ribbon Ridge,Willamette Valley
318,Madiran,
319,Walla Walla Valley (WA),Columbia Valley
320,Bandol,
321,Rioja,
322,Coteaux d'Aix-en-Provence,
323,Ribera del Duero,
324,Napa Valley,Napa
325,Bandol,
326,Mendoza,
327,Côtes de Provence,
328,Cahors,
329,Willamette Valley,Willamette Valley
330,Barolo,
331,,
332,Knights Valley,Sonoma
333,Rías Baixas,
334,Napa Valley,Napa
335,,
336,Paso Robles Willow Creek District,Central Coast
337,Willamette Valley,Willamette Valley
338,Knights Valley,Sonoma
339,Barolo,
340,Barolo,
341,Napa Valley,Napa
342,Barolo,
343,Russian River Valley,Sonoma
344,,
345,,
346,Santa Lucia Highlands,Central Coast
347,Russian River Valley,Sonoma
348,,
349,Barolo,
350,Santa Maria Valley,Central Coast
351,Dundee Hills,Willamette Valley
352,Champagne,
353,,
354,Willamette Valley,Willamette Valley
355,,
356,Santa Lucia Highlands,Central Coast
357,Willamette Valley,Willamette Valley
358,Barolo,
359,Ribera del Duero,
360,Paso Robles,Central Coast
361,Paso Robles Willow Creek District,Central Coast
362,Umpqua Valley,Southern Oregon
363,Alsace,
364,Gevrey-Chambertin,
365,Willamette Valley,Willamette Valley
366,Vittoria,
367,,
368,Alsace,
369,Alsace,
370,Alsace,
371,Oregon,Oregon Other
372,Dundee Hills,Willamette Valley
373,Pommard,
374,Sicilia,
375,Terre Siciliane,
376,Oregon,Oregon Other
377,Greco di Tufo,
378,,
379,California,California Other
380,North Coast,North Coast
381,Napa Valley,Napa
382,Napa Valley,Napa
383,Ribera del Duero,
384,,
385,La Mancha,
386,Napa Valley,Napa
387,Dry Creek Valley,Sonoma
388,California,California Other
389,Red Hills Lake County,Mendocino/Lake Counties
390,Central Coast,Central Coast
391,Paso Robles,Central Coast
392,Brunello di Montalcino,
393,Walla Walla Valley (WA),Columbia Valley
394,Okanagan Valley,
395,Rías Baixas,
396,Sancerre,
397,Brunello di Montalcino,
398,Brunello di Montalcino,
399,,
400,Brunello di Montalcino,
401,Brunello di Montalcino,
402,Brunello di Montalcino,
403,Santa Ynez Valley,Central Coast
404,Côtes du Rhône Villages,
405,Châteauneuf-du-Pape,
406,Alexander Valley,Sonoma
407,Russian River Valley,Sonoma
408,Napa Valley,Napa
409,Sonoma Coast,Sonoma
410,Spain,
411,,
412,Brunello di Montalcino,
413,Russian River Valley,Sonoma
414,Alexander Valley,Sonoma
415,Sonoma Valley,Sonoma
416,Lodi,Central Valley
417,Chianti Classico,
418,Vino Nobile di Montepulciano,
419,Chianti Classico,
420,Columbia Valley (WA),Columbia Valley
421,Paso Robles,Central Coast
422,Finger Lakes,Finger Lakes
423,Wahluke Slope,Columbia Valley
424,Cava,
425,Ribera del Duero,
426,Columbia Valley (WA),Columbia Valley
427,Médoc,
428,Livermore Valley,Central Coast
429,Lodi,Central Valley
430,,
431,Yakima Valley,Columbia Valley
432,Brunello di Montalcino,
433,Brunello di Montalcino,
434,Graves,
435,Paso Robles,Central Coast
436,,
437,,
438,Maremma Toscana,
439,Jerez,
440,Bolgheri,
441,,
442,Ribera del Duero,
443,Manzanilla-Sanlúcar de Barrameda,
444,Ribera del Duero,
445,,
446,Montsant,
447,Brunello di Montalcino,
448,Brunello di Montalcino,
449,Brunello di Montalcino,
450,,
451,Soave,
452,Knights Valley,Sonoma
453,South Coast,South Coast
454,,
455,San Juan,
456,California,California Other
457,,
458,Red Mountain,Columbia Valley
459,Dry Creek Valley,Sonoma
460,Mendoza,
461,,
462,Napa Valley,Napa
463,Paso Robles,Central Coast
464,Columbia Valley (WA),Columbia Valley
465,Mendocino County,Mendocino/Lake Counties
466,Côtes de Gascogne,
467,Mendoza,
468,Paso Robles,Central Coast
469,Mendoza,
470,Santa Ynez Valley,Central Coast
471,,
472,Alexander Valley,Sonoma
473,,
474,California,California Other
475,South Coast,South Coast
476,Bergerac Sec,
477,Dry Creek Valley,Sonoma
478,,
479,,
480,Anderson Valley,Mendocino/Lake Counties
481,,
482,Côtes du Rhône,
483,Toscana,
484,Gaillac,
485,Gaillac,
486,,
487,Vino Spumante,
488,Willamette Valley,Willamette Valley
489,Carmel Valley,Central Coast
490,Toscana,
491,Fronton,
492,Chehalem Mountains,Willamette Valley
493,Willamette Valley,Willamette Valley
494,Santa Ynez Valley,Central Coast
495,,
496,Santa Barbara County,Central Coast
497,Toscana,
498,Toscana,
499,Priorat,
500,Côtes du Rhône,
501,Paso Robles,Central Coast
502,,
503,Rogue Valley,Southern Oregon
504,Paso Robles,Central Coast
505,McMinnville,Willamette Valley
506,Rías Baixas,
507,Toscana,
508,Ribera del Duero,
509,Cava,
510,Green Valley,Sonoma
511,Alsace,
512,,
513,Napa Valley,Napa
514,Napa Valley,Napa
515,Atlas Peak,Napa
516,Santa Ynez Valley,Central Coast
517,Beamsville Bench,
518,Santa Maria Valley,Central Coast
519,,
520,Carneros,Napa-Sonoma
521,,
522,Columbia Valley (WA),Columbia Valley
523,Santa Barbara County,Central Coast
524,Columbia Gorge (WA),Washington Other
525,Alsace,
526,Alsace,
527,Sta. Rita Hills,Central Coast
528,Russian River Valley,Sonoma
529,,
530,Barbaresco,
531,California,California Other
532,Barolo,
533,Blaye Côtes de Bordeaux,
534,,
535,Alsace,
536,Santa Maria Valley,Central Coast
537,,
538,Red Mountain,Columbia Valley
539,Fort Ross-Seaview,Sonoma
540,Sierra Foothills,Sierra Foothills
541,Amador County,Sierra Foothills
542,,
543,Beaune,
544,Morey-Saint-Denis,
545,Central Coast,Central Coast
546,Green Valley,Sonoma
547,,
548,Lodi,Central Valley
549,Sicilia,
550,Beaune,
551,Alsace,
552,Marsannay,
553,Alsace,
554,Alsace,
555,Willamette Valley,Willamette Valley
556,Terre Siciliane,
557,Sonoma Valley,Sonoma
558,Noto,
559,,
560,Dundee Hills,Willamette Valley
561,Napa Valley,Napa
562,Vittoria,
563,Red Hills Lake County,Mendocino/Lake Counties
564,Rioja,
565,Rioja,
566,Sierra Foothills,Sierra Foothills
567,,
568,California,California Other
569,North Coast,North Coast
570,Russian River Valley,Sonoma
571,Dundee Hills,Willamette Valley
572,Madiran,
573,Rutherford,Napa
574,Coombsville,Napa
575,Sta. Rita Hills,Central Coast
576,Collio,
577,Madiran,
578,Sta. Rita Hills,Central Coast
579,Dundee Hills,Willamette Valley
580,Cahors,
581,Sonoma Coast,Sonoma
582,,
583,Washington,Washington Other
584,Alexander Valley,Sonoma
585,Sta. Rita Hills,Central Coast
586,Ribera del Duero,
587,,
588,,
589,Santa Maria Valley,Central Coast
590,Russian River Valley,Sonoma
591,Chehalem Mountains,Willamette Valley
592,Amador County,Sierra Foothills
593,California,California Other
594,Howell Mountain,Napa
595,,
596,Alexander Valley,Sonoma
597,Lodi,Central Valley
598,Ribera del Duero,
599,Bandol,
600,Napa Valley,Napa
601,Dundee Hills,Willamette Valley
602,Napa Valley,Napa
603,,
604,Alto Adige,
605,Ben Lomond Mountain,Central Coast
606,,
607,,
608,,
609,,
610,,
611,Vigneti delle Dolomiti,
612,Chehalem Mountains,Willamette Valley
613,,
614,Russian River Valley,Sonoma
615,Corton,
616,Russian River Valley,Sonoma
617,Napa Valley,Napa
618,Sonoma Coast,Sonoma
619,,
620,,
621,,
622,,
623,,
624,,
625,Arroyo Seco,Central Coast
626,Alto Adige,
627,Haut-Médoc,
628,,
629,Côtes de Nuits Villages,
630,Napa Valley,Napa
631,Adelaide Hills,
632,Barolo,
633,,
634,Barolo,
635,Paso Robles,Central Coast
636,Russian River Valley,Sonoma
637,Barolo,
638,Barolo,
639,Barolo,
640,Barbera d'Asti Superiore,
641,Rías Baixas,
642,Edna Valley,Central Coast
643,Cahors,
644,,
645,Willamette Valley,Willamette Valley
646,Russian River Valley,Sonoma
647,Côtes de Gascogne,
648,Chablis,
649,,
650,Oak Knoll District,Napa
651,Barbera d'Alba,
652,Rogue Valley,Southern Oregon
653,Barolo,
654,Oregon,Oregon Other
655,Russian River Valley,Sonoma
656,Willamette Valley,Willamette Valley
657,Barolo,
658,Barolo,
659,Roero,
660,Yarra Valley,
661,Sancerre,
662,Tupungato,
663,Sancerre,
664,Dry Creek Valley,Sonoma
665,Santa Barbara County,Central Coast
666,Côtes de Bourg,
667,Russian River Valley,Sonoma
668,Pouilly-Fumé,
669,Barolo,
670,Anderson Valley,Mendocino/Lake Counties
671,Sonoma Coast,Sonoma
672,Sancerre,
673,Arroyo Grande Valley,Central Coast
674,Willamette Valley,Willamette Valley
675,Santa Barbara County,Central Coast
676,,
677,Barolo,
678,Central Coast,Central Coast
679,Pessac-Léognan,
680,Pessac-Léognan,
681,Pessac-Léognan,
682,Bordeaux Blanc,
683,Alexander Valley,Sonoma
684,Pessac-Léognan,
685,Willamette Valley,Willamette Valley
686,Carneros,Napa-Sonoma
687,Carneros-Napa Valley,Napa
688,Menetou-Salon,
689,Vino de la Tierra de Castilla,
690,Moon Mountain District Sonoma County,Sonoma
691,Cava,
692,,
693,Sonoma Coast,Sonoma
694,Santa Barbara County,Central Coast
695,Sta. Rita Hills,Central Coast
696,Finger Lakes,Finger Lakes
697,Finger Lakes,Finger Lakes
698,Yakima Valley,Columbia Valley
699,Brunello di Montalcino,
700,Sonoma Coast,Sonoma
701,Brunello di Montalcino,
702,Happy Canyon of Santa Barbara,Central Coast
703,Paso Robles,Central Coast
704,Russian River Valley,Sonoma
705,Okanagan Valley,
706,Oak Knoll District,Napa
707,Paso Robles,Central Coast
708,Alexander Valley,Sonoma
709,Alexander Valley,Sonoma
710,Columbia Valley (WA),Columbia Valley
711,,
712,Santa Clara Valley,Central Coast
713,Brunello di Montalcino,
714,Okanagan Valley,
715,Mount Veeder,Napa
716,Jerez,
717,Chianti Classico,
718,Dunnigan Hills,Central Valley
719,Tavel,
720,California,California Other
721,,
722,Mendoza,
723,Argentina,
724,,
725,Livermore Valley,Central Coast
726,Bergerac Rosé,
727,Côtes du Tarn,
728,California,California Other
729,Coteaux Bourguignons,
730,Delle Venezie,
731,,
732,Côtes du Lot,
733,Cahors,
734,,
735,California,California Other
736,California,California Other
737,Mendoza,
738,Soave Classico,
739,Mendoza,
740,,
741,,
742,Tupungato,
743,Rioja,
744,,
745,Côtes du Rhône,
746,Valle de Uco,
747,Moon Mountain District Sonoma County,Sonoma
748,,
749,,
750,Cahors,
751,Priorat,
752,Yountville,Napa
753,Santa Ynez Valley,Central Coast
754,Santa Maria Valley,Central Coast
755,Côtes de Gascogne,
756,Santa Ynez Valley,Central Coast
757,Toscana,
758,Paso Robles,Central Coast
759,Toscana,
760,,
761,Sierra Foothills,Sierra Foothills
762,Willamette Valley,Willamette Valley
763,Willamette Valley,Willamette Valley
764,,
765,Toscana,
766,,
767,Willamette Valley,Willamette Valley
768,Santa Ynez Valley,Central Coast
769,Toscana,
770,,
771,Oregon,Oregon Other
772,Umpqua Valley,Southern Oregon
773,California,California Other
774,Toscana,
775,,
776,,
777,,
778,,
779,Côtes du Lot,
780,Brunello di Montalcino,
781,Brunello di Montalcino,
782,Yakima Valley,Columbia Valley
783,Brunello di Montalcino,
784,Columbia Valley (WA),Columbia Valley
785,Pessac-Léognan,
786,Graves,
787,Pessac-Léognan,
788,Pessac-Léognan,
789,Bordeaux Supérieur,
790,Sonoma Valley,Sonoma
791,Bolgheri,
792,Amador County,Sierra Foothills
793,Livermore Valley,Central Coast
794,Horse Heaven Hills,Columbia Valley
795,Médoc,
796,Walla Walla Valley (WA),Columbia Valley
797,Calistoga,Napa
798,California,California Other
799,Columbia Valley (WA),Columbia Valley
800,Napa Valley,Napa
801,,
802,Columbia Valley (WA),Columbia Valley
803,Livermore Valley,Central Coast
804,Paso Robles,Central Coast
805,Napa Valley,Napa
806,Finger Lakes,Finger Lakes
807,Finger Lakes,Finger Lakes
808,Dry Creek Valley,Sonoma
809,Bordeaux,
810,Noto,
811,,
812,Dundee Hills,Willamette Valley
813,Napa Valley,Napa
814,Vittoria,
815,Beaune,
816,Alsace,
817,Marsannay,
818,Alsace,
819,Alsace,
820,Sicilia,
821,Willamette Valley,Willamette Valley
822,Napa Valley,Napa
823,Oak Knoll District,Napa
824,Etna,
825,McLaren Vale,
826,Napa Valley,Napa
827,Napa Valley,Napa
828,Mendocino County,Mendocino/Lake Counties
829,Amador County,Sierra Foothills
830,Sierra Foothills,Sierra Foothills
831,Napa Valley,Napa
832,Amador County,Sierra Foothills
833,,
834,Rioja,
835,Adelaida District,Central Coast
836,Adelaida District,Central Coast
837,Sierra Foothills,Sierra Foothills
838,,
839,Livermore Valley,Central Coast
840,Moon Mountain District Sonoma County,Sonoma
841,Cava,
842,North Fork of Long Island,Long Island
843,Lake County,Mendocino/Lake Counties
844,Cava,
845,Oak Knoll District,Napa
846,Finger Lakes,Finger Lakes
847,Chassagne-Montrachet,
848,Cour-Cheverny,
849,Sancerre,
850,Sonoma Coast,Sonoma
851,Okanagan Valley,
852,,
853,Aloxe-Corton,
854,Pouilly-Fumé,
855,Santa Lucia Highlands,Central Coast
856,Brunello di Montalcino,
857,Tavel,
858,Ribeira Sacra,
859,Jerez,
860,Chianti Classico,
861,Dunnigan Hills,Central Valley
862,Chianti Classico,
863,Chianti Classico,
864,Rioja,
865,Vino Nobile di Montepulciano,
866,Chianti Classico,
867,Chianti Classico,
868,Chianti Classico,
869,Paso Robles,Central Coast
870,Red Mountain,Columbia Valley
871,Fort Ross-Seaview,Sonoma
872,Santa Maria Valley,Central Coast
873,,
874,Barbaresco,
875,Alsace,
876,Barolo,
877,Barolo,
878,Sonoma Valley,Sonoma
879,Arroyo Grande Valley,Central Coast
880,Alta Langa,
881,Barbaresco,
882,,
883,,
884,Alsace,
885,Columbia Valley (WA),Columbia Valley
886,Santa Ynez Valley,Central Coast
887,Santa Cruz Mountains,Central Coast
888,Columbia Valley (WA),Columbia Valley
889,Santa Barbara County,Central Coast
890,Red Mountain,Columbia Valley
891,Santa Ynez Valley,Central Coast
892,,
893,Columbia Gorge (WA),Washington Other
894,Paso Robles,Central Coast
895,Columbia Valley (WA),Columbia Valley
896,Sonoma Coast,Sonoma
897,Vino da Tavola,
898,Langhe,
899,Alsace,
900,Valle de Uco,
901,Edna Valley,Central Coast
902,Napa Valley,Napa
903,Madiran,
904,Edna Valley,Central Coast
905,San Luis Obispo,Central Coast
906,Russian River Valley,Sonoma
907,Côtes de Provence Sainte-Victoire,
908,Côtes de Provence,
909,Cahors,
910,Côtes de Provence La Londe,
911,Côtes de Provence,
912,Paso Robles,Central Coast
913,Napa Valley,Napa
914,Paso Robles,Central Coast
915,Dundee Hills,Willamette Valley
916,Rutherford,Napa
917,Fort Ross-Seaview,Sonoma
918,Willamette Valley,Willamette Valley
919,Jerez,
920,Dundee Hills,Willamette Valley
921,Carneros,Napa-Sonoma
922,Côtes de Gascogne,
923,Sonoma Coast,Sonoma
924,Rioja,
925,Sta. Rita Hills,Central Coast
926,Sta. Rita Hills,Central Coast
927,Eola-Amity Hills,Willamette Valley
928,Fort Ross-Seaview,Sonoma
929,Santa Maria Valley,Central Coast
930,Toscana,
931,,
932,,
933,,
934,Gaillac,
935,California,California Other
936,,
937,Côtes du Lot,
938,,
939,Carneros,Napa-Sonoma
940,Penedès,
941,Livermore Valley,Central Coast
942,,
943,,
944,Valtellina Superiore,
945,Arroyo Grande Valley,Central Coast
946,Toscana,
947,Willamette Valley,Willamette Valley
948,,
949,Toscana,
950,,
951,Toscana,
952,Dundee Hills,Willamette Valley
953,Oakville,Napa
954,Toscana,
955,Toscana,
956,Willamette Valley,Willamette Valley
957,,
958,Santa Barbara County,Central Coast
959,,
960,Roero,
961,Oregon,Oregon Other
962,,
963,Mendocino,Mendocino/Lake Counties
964,Rioja,
965,Barbera d'Alba,
966,,
967,Sonoma Coast,Sonoma
968,,
969,Anderson Valley,Mendocino/Lake Counties
970,,
971,Barolo,
972,,
973,Russian River Valley,Sonoma
974,,
975,Sta. Rita Hills,Central Coast
976,McMinnville,Willamette Valley
977,,
978,Barolo,
979,Rutherford,Napa
980,Barolo,
981,Barbaresco,
982,Barbaresco,
983,Barolo,
984,Barolo,
985,Ribera del Duero,
986,Barolo,
987,Tasmania,
988,Willamette Valley,Willamette Valley
989,Willamette Valley,Willamette Valley
990,Soave,
991,California,California Other
992,,
993,,
994,,
995,,
996,,
997,Côtes de Gascogne,
998,Côtes de Gascogne,
999,Mendoza,
1000,,
1001,California,California Other
1002,California,California Other
1003,,
1004,,
1005,,
1006,,
1007,Mendoza,
1008,,
1009,Côtes du Rhône,
1010,Napa Valley,Napa
1011,,
1012,Côtes du Tarn,
1013,Côtes de Bergerac,
1014,Côtes de Gascogne,
1015,,
1016,,
1017,Coteaux Bourguignons,
1018,Russian River Valley,Sonoma
1019,Soave,
1020,,
1021,Chehalem Mountains,Willamette Valley
1022,Venezia Giulia,
1023,Dundee Hills,Willamette Valley
1024,Morgon,
1025,,
1026,,
1027,,
1028,Santa Lucia Highlands,Central Coast
1029,Alexander Valley,Sonoma
1030,,
1031,,
1032,,
1033,,
1034,Saint-Émilion,
1035,Morgon,
1036,,
1037,,
1038,,
1039,Lugana,
1040,Chehalem Mountains,Willamette Valley
1041,,
1042,Toscana,
1043,,
1044,Russian River Valley,Sonoma
1045,,
1046,,
1047,,
1048,,
1049,Sonoma Mountain,Sonoma
1050,Barolo,
1051,Barolo,
1052,Umpqua Valley,Southern Oregon
1053,Napa Valley,Napa
1054,Dundee Hills,Willamette Valley
1055,Virginia,
1056,Virginia,
1057,Cafayate,
1058,Napa Valley,Napa
1059,Alto Valle del Río Negro,
1060,,
1061,,
1062,Amador County,Sierra Foothills
1063,Barolo,
1064,Cafayate,
1065,Bierzo,
1066,Eden Valley,
1067,Virginia,
1068,,
1069,Lodi,Central Valley
1070,Côtes de Bourg,
1071,,
1072,Santa Barbara County,Central Coast
1073,Sancerre,
1074,Napa Valley,Napa
1075,Sancerre,
1076,Barolo,
1077,Carneros,Napa-Sonoma
1078,Barolo,
1079,Santa Maria Valley,Central Coast
1080,Santa Ynez Valley,Central Coast
1081,Santa Ynez Valley,Central Coast
1082,Finger Lakes,Finger Lakes
1083,Horse Heaven Hills,Columbia Valley
1084,Naches Heights,Columbia Valley
1085,Long Island,Long Island
1086,Jumilla,
1087,Médoc,
1088,Médoc,
1089,Finger Lakes,Finger Lakes
1090,Moulis-en-Médoc,
1091,Pessac-Léognan,
1092,Bordeaux Supérieur,
1093,,
1094,Anderson Valley,Mendocino/Lake Counties
1095,Santa Barbara County,Central Coast
1096,Bolgheri,
1097,Sonoma County,Sonoma
1098,California,California Other
1099,Finger Lakes,Finger Lakes
1100,Columbia Valley (WA),Columbia Valley
1101,Listrac-Médoc,
1102,Livermore Valley,Central Coast
1103,Walla Walla Valley (WA),Columbia Valley
1104,Santa Clara Valley,Central Coast
1105,Napa Valley,Napa
1106,Yakima Valley,Columbia Valley
1107,Dry Creek Valley,Sonoma
1108,Maremma Toscana,
1109,Columbia Valley (WA),Columbia Valley
1110,Rioja,
1111,Lake County,Mendocino/Lake Counties
1112,Rioja,
1113,Mendocino County,Mendocino/Lake Counties
1114,Adelaida District,Central Coast
1115,Terre Siciliane,
1116,Marsannay,
1117,Mercurey,
1118,Marsannay,
1119,Santa Barbara County,Central Coast
1120,,
1121,,
1122,Central Coast,Central Coast
1123,Willamette Valley,Willamette Valley
1124,Alsace,
1125,,
1126,Beaune,
1127,Alexander Valley,Sonoma
1128,Napa Valley,Napa
1129,Rutherford,Napa
1130,Russian River Valley,Sonoma
1131,Willamette Valley,Willamette Valley
1132,San Luis Obispo County,Central Coast
1133,,
1134,Alsace,
1135,Alsace,
1136,Alsace,
1137,Willamette Valley,Willamette Valley
1138,Paso Robles,Central Coast
1139,,
1140,Brunello di Montalcino,
