province,region_1
Kremstal,Kremstal
Virginia,Monticello
Bordeaux,Bordeaux Blanc
Rhône Valley,Tavel
France Other,Vin de Savoie
Župa,Župa
Piedmont,Nebbiolo d'Alba
Piedmont,Colline Novaresi
Southern Italy,Fiano di Avellino
Oregon,Columbia Valley (OR)
Provence,Coteaux Varois en Provence
Vienna,Vienna
Southern Italy,Greco di Tufo
Sicily & Sardinia,Cerasuolo di Vittoria Classico
Morocco,Morocco
California,Napa
California,Chalk Hill
California,Placer County
Piedmont,Barbera d'Alba Superiore
California,Monterey
Burgundy,Rully
South Australia,South Australia
South Australia,Eden Valley
South Australia,Langhorne Creek
Bordeaux,Pauillac
Northern Spain,Vino de la Tierra de Castilla y León
Hawke's Bay,Hawke's Bay
Burgundy,Nuits-St.-Georges
Juanico,Juanico
Montevideo,Montevideo
Kras,Kras
Rhône Valley,Luberon
Burgundy,Saint-Romain
Northeastern Italy,Alto Adige Terlano
Beaujolais,Juliénas
Colorado,Grand Valley
Dolenjska,Dolenjska
Colorado,Colorado
Arizona,Cochise County
America,America
Sicily & Sardinia,Cannonau di Sardegna
Bío Bío Valley,Bío Bío Valley
Victoria,Victoria
Catalonia,Catalunya
Catalonia,Alella
Weinland Österreich,Weinland Österreich
California,Templeton Gap District
Weinviertel,Weinviertel
Tuscany,Colli della Toscana Centrale
Washington,Ancient Lakes
California,Red Hills Lake County
Bekaa Valley,Bekaa Valley
Aegean,Aegean
Central Italy,Lambrusco di Sorbara
Northeastern Italy,Trentino
Galil,Galil
Northern Spain,Cariñena
Burgundy,Meursault
California,Clarksburg
Aconcagua Costa,Aconcagua Costa
Recas,Recas
Turkey,Turkey
California,Fair Play
Bucelas,Bucelas
Chalkidiki,Chalkidiki
California,Humboldt County
Northeastern Italy,Alto Adige Valle Isarco
Veneto,Prosecco di Valdobbiadene Superiore
Australia Other,Australia
Jerusalem Hills,Jerusalem Hills
Loire Valley,Muscadet
Loire Valley,Touraine
Other,Salta
South Australia,Barossa
Loire Valley,Reuilly
Loire Valley,Menetou-Salon
Loire Valley,Quincy
Other,Patagonia
California,Temecula
Southwest France,Marcillac
Burgundy,Montagny
Arizona,Arizona
Bordeaux,Lussac Saint-Émilion
California,Contra Costa County
Bordeaux,Saint-Estèphe
Tuscany,Vin Santo del Chianti Classico
Tuscany,Vin Santo del Chianti Rufina
Levante,Alicante
Burgundy,Meursault-Blagny
Tuscany,Rosso di Toscana
Sicily & Sardinia,Valli di Porto Pino
Santorini,Santorini
Ilia,Ilia
Sicily & Sardinia,Alcamo
South Australia,Wrattonbully
Valais,Valais
Loire Valley,Anjou
North Carolina,Swan Creek
Oregon,Southern Oregon
Provence,Coteaux d'Aix-en-Provence
Zenata,Zenata
California,Redwood Valley
Northern Spain,Getariako Txakolina
Southern Italy,Costa d'Amalfi
Corinth,Corinth
Sicily & Sardinia,Eloro
Piedmont,Barbera d'Asti
Burgundy,Bourgogne
California,Santa Barbara
Vipavska Dolina,Vipavska Dolina
Bordeaux,Castillon Côtes de Bordeaux
Nemea,Nemea
Southwest France,Saussignac
California,Los Carneros
South Australia,Clare Valley
Veneto,Soave Classico Superiore
Burgundy,Saint-Véran
Western Australia,Western Australia
Korčula,Korčula
Other,Tulum Valley
California,Nevada County
California,Napa County
Mendoza Province,Maipú
Levante,Utiel-Requena
Macedonia,Macedonia
Levante,Vino de la Tierra de Castelló
Mendoza Province,Mendoza Province
Southwest France,Bergerac
California,Fiddletown
Minho,Minho
Viile Timisului,Viile Timisului
Pangeon,Pangeon
Southern Italy,Puglia
Southern Italy,Irpinia
Burgundy,Mâcon-Lugny
Romania,Romania
Galicia,Monterrei
Provence,Var
Central Italy,Lambrusco Grasparossa di Castelvetro
Limarí Valley,Limarí Valley
Tuscany,Pomino
Southwest France,Landes
Central Greece,Central Greece
Central Valley,Central Valley
Alenteo,Alenteo
Mendoza Province,La Consulta
Tuscany,Chianti Rufina
Southwest France,Irrouléguy
Other,Calchaquí Valley
Loire Valley,Val de Loire
Levante,Valencia
Northeastern Italy,Isonzo del Friuli
California,Potter Valley
Chile,Chile
Sicily & Sardinia,Faro
Central Spain,Dominio de Valdepusa
Loire Valley,Cabernet d'Anjou
New South Wales,Riverina
Primorska,Primorska
New York,Seneca Lake
Slovenia,Slovenia
California,High Valley
Awatere Valley,Awatere Valley
Progreso,Progreso
California,San Benito County
Retsina,Retsina
Apalta,Apalta
South Australia,Limestone Coast
Burgundy,Saint-Bris
San Clemente,San Clemente
Languedoc-Roussillon,Sable de Camargue
Dealu Mare,Dealu Mare
Virginia,Shenandoah Valley
Veneto,Soave Colli Scaligeri
Alenquer,Alenquer
California,San Luis Obispo
Northern Spain,Rueda
Virginia,Middleburg
Languedoc-Roussillon,Pays d'Oc
Shomron,Shomron
Loire Valley,Bourgueil
Nelson,Nelson
North Carolina,North Carolina
North Carolina,Yadkin Valley
Burgundy,Corton
Tuscany,Chianti Superiore
Sicily & Sardinia,Erice
California,Suisun Valley
Haut-Judeé,Haut-Judeé
South Australia,Fleurieu Peninsula
Tuscany,Chianti
California,Monterey-Santa Barbara
Burgundy,Corton Vergennes
Burgundy,Corton-Rognet
Rhône Valley,Hermitage
California,San Bernabe
Drama,Drama
Veneto,Soave Superiore
California,Stags Leap District
Northeastern Italy,Friuli Grave
Northern Spain,Calatayud
Rhône Valley,Lirac
Rhône Valley,Condrieu
Burgundy,Chambolle-Musigny
Burgundy,Vosne-Romanée
Australia Other,South Eastern Australia
Tuscany,Colli Etruria Centrale
Tuscany,Carmignano
Sicily & Sardinia,Isola dei Nuraghi
Bordeaux,Haut-Médoc
France Other,Vin de Pays de la Méditerranée
Northeastern Italy,Venezie
Burgundy,Côte de Nuits-Villages
Southern Italy,Roccamonfina
Gisborne,Gisborne
Burgundy,Chevalier-Montrachet
Burgundy,Chambertin
Burgundy,Romanée-St.-Vivant
France Other,Charentais
Terasele Dunarii,Terasele Dunarii
Uruguay,Uruguay
California,Northern Sonoma
Bordeaux,Lalande de Pomerol
Serra Gaúcha,Serra Gaúcha
Southwest France,Côtes de Duras
Galicia,Ribeiro
Bordeaux,Francs Côtes de Bordeaux
Rhône Valley,Gigondas
Sicily & Sardinia,Contessa Entellina
Western Australia,Great Southern
South Australia,Coonawarra
Burgundy,Côte Chalonnaise
Burgundy,Coteaux Bourguignons
Lontué Valley,Lontué Valley
Southern Italy,Colli di Salerno
Rhône Valley,Saint-Joseph
Veneto,Valpolicella Classico Superiore Ripasso
Veneto,Valpolicella Superiore Ripasso
New Mexico,New Mexico
Northern Spain,Vino de Calidad de Valtiendas
Central Italy,Colli Aprutini
Central Italy,Rubicone
Beaujolais,Chiroubles
Southern Italy,Salento
Lolol Valley,Lolol Valley
Alsace,Crémant d'Alsace
Piedmont,Barbera di Piemonte
Piedmont,Barbera d'Asti Superiore Nizza
Piedmont,Dogliani
Sicily & Sardinia,Contea di Sclafani
Central Italy,Rosso Piceno
Central Italy,Terre di Chieti
Central Italy,Sangiovese di Romagna
Central Italy,Offida Passerina
Central Italy,Montepulciano d'Abruzzo
Missouri,Missouri
Wagram-Donauland,Wagram-Donauland
Southern Italy,Primitivo di Manduria
Southern Italy,Salice Salentino
Beaujolais,Chénas
Southwest France,Comté Toulosan
Beaujolais,Fleurie
Southern Italy,Cirò
Central Spain,Manchuela
Northern Spain,Tierra del Viños de Zamora
Spanish Islands,Vi de la Terra Mallorca
Burgundy,Bourgogne Aligoté
Central Italy,Rosso Conero
Central Italy,Lazio
Central Italy,Orvieto
Curicó and Leyda Valleys,Curicó and Leyda Valleys
Loncomilla Valley,Loncomilla Valley
California,San Pasqual
Oregon,Walla Walla Valley (OR)
California,Monterey County-Napa County-Sonoma County
Thrace,Thrace
California,Ventura County
Central Italy,Umbria
Oregon,Yamhill-Carlton District
California,Napa-Sonoma
Loire Valley,Savennières
Swartland,Swartland
Burgundy,Pernand-Vergelesses
Oregon,Oregon Other
Central Italy,Verdicchio dei Castelli di Jesi Classico
Central Italy,Frascati Superiore
Central Italy,Sagrantino di Montefalco
Western Australia,Margaret River
Andalucia,Montilla-Moriles
Rhône Valley,Ventoux
Sicily & Sardinia,Cerasuolo di Vittoria
Southwest France,Lot
Southern Italy,Sant' Agata dei Goti
Burgundy,Monthélie
Burgundy,Mâcon-Chardonnay
Rhône Valley,Vin de Pays des Collines Rhodaniennes
Central Spain,Mentrida
Central Italy,Lambrusco Reggiano
Central Italy,Colli Piacentini
Mendoza Province,Perdriel
Southern Italy,Val di Neto
Beaujolais,Côte de Brouilly
Beaujolais,Beaujolais
Beaujolais,Régnié
Loire Valley,Coteaux du Layon
Burgundy,Morey-Saint-Denis
Central Italy,Marche
Sicily & Sardinia,Vermentino di Sardegna
Casablanca & Leyda Valleys,Casablanca & Leyda Valleys
Central Italy,Verdicchio dei Castelli di Jesi
Other,Jujuy
Mittelburgenland,Mittelburgenland
Southern Italy,Epomeo
Central Italy,Trebbiano d'Abruzzo
Beaujolais,Beaujolais-Villages
Southern Italy,Basilicata
Loire Valley,Coteaux du Layon Beaulieu
Other,Neuquén
Southern Italy,Campi Flegrei
Südsteiermark,Südsteiermark
Northeastern Italy,Delle Venezie
Southern Italy,Terre del Volturno
Pirque,Pirque
Rhône Valley,Vacqueyras
France Other,Arbois
Tuscany,Montescudaio
Tuscany,Chianti Colli Fiorentini
Tuscany,Sant'Antimo
Tuscany,Chianti Montalbano
Tuscany,Vin Santo di Carmignano
Simonsberg-Stellenbosch,Simonsberg-Stellenbosch
Central Italy,Sangiovese di Romagna Superiore
Central Italy,Circeo
Central Italy,Orvieto Classico
Southern Italy,Aglianico del Taburno
Sicily & Sardinia,Salina
California,Napa County-Sonoma County-San Joaquin County
Loire Valley,Touraine Amboise
Canterbury,Canterbury
South Australia,Clare Valley-Coonawarra
Veneto,Amarone della Valpolicella
Provence,Provence
Central Italy,Lambrusco dell'Emilia
Choapa Valley,Choapa Valley
Mantinia,Mantinia
Burgundy,Mâcon-Vinzelles
Tuscany,Rosso di Montepulciano
Bordeaux,Montagne-Saint-Émilion
Tuscany,Rosso di Montalcino
Tuscany,Vernaccia di San Gimignano
Veneto,Valpolicella Superiore
Tuscany,Morellino di Scansano
Catalonia,Pla de Bages
Duriense,Duriense
Negev,Negev
Walker Bay,Walker Bay
Paarl,Paarl
Veneto,Conegliano Valdobbiadene Prosecco Superiore
Setubal,Setubal
Veneto,Valpolicella Classico Superiore
Beaujolais,Beaujolais Blanc
Central Spain,Almansa
Provence,Coteaux Varois
Northeastern Italy,Friuli Isonzo
Algarve,Algarve
Provence,Vin de Pays Var
Coastal Region,Coastal Region
Commandaria,Commandaria
Jonkershoek Valley,Jonkershoek Valley
California,San Francisco Bay-Livermore Valley
California,Sonoma-Napa-Lake
California,Napa-Carneros
Kathikas,Kathikas
Beaujolais,Saint-Amour
Burgundy,Auxey-Duresses
Dan,Dan
Central Spain,Vinos de Madrid
Rhône Valley,Vin de Pays du Gard
Veneto,Valpolicella Ripasso
Veneto,Valpolicella Ripasso Valpantena
Mendoza Province,San Rafael
California,Cole Ranch
Central Italy,Torgiano
Veneto,Veneto
Rhône Valley,Crozes-Hermitage
Bordeaux,Saint-Julien
Beaujolais,Moulin-à-Vent
Beaujolais,Beaujolais Rosé
Sicily & Sardinia,Monica di Sardegna
Ribatejo,Ribatejo
Veneto,Rosso del Veronese
Piedmont,Moscato d'Asti
Tuscany,Maremma
Victoria,Bendigo
Languedoc-Roussillon,Vin de Pays d'Oc
Languedoc-Roussillon,Crémant de Limoux
Elgin,Elgin
Northeastern Italy,Colli Orientali del Friuli
Polkadraai Hills,Polkadraai Hills
Simonsberg-Paarl,Simonsberg-Paarl
Mosel-Saar-Ruwer,Mosel-Saar-Ruwer
Languedoc-Roussillon,Maury
Österreichischer Sekt,Österreichischer Sekt
Levante,Yecla
Crete,Crete
South Australia,Adelaide
Veneto,Prosecco di Conegliano e Valdobbiadene
Veneto,Prosecco del Veneto
Veneto,Prosecco di Conegliano
Veneto,Prosecco di Valdobbiadene
Südoststeiermark,Südoststeiermark
Languedoc-Roussillon,Coteaux du Languedoc
Waipara,Waipara
Sicily & Sardinia,Carignano del Sulcis
Languedoc-Roussillon,Rivesaltes
Languedoc-Roussillon,Corbières-Boutenac
Southern Italy,Falerno del Massico
Western Australia,Frankland River
South Australia,Lenswood
Victoria,Mornington Peninsula
Washington,Chelan County
Malgas,Malgas
Rhône Valley,Rasteau
Languedoc-Roussillon,Banyuls
Piedmont,Dolcetto d'Alba
Mendoza Province,Vista Flores
New South Wales,Hunter Valley
Styria,Styria
Donauland,Donauland
Rapsani,Rapsani
Opuntia Locris,Opuntia Locris
Samos,Samos
Vin de Pays de Macédoine,Vin de Pays de Macédoine
Greece,Greece
Halkidiki,Halkidiki
Attica,Attica
Cephalonia,Cephalonia
Mount Athos,Mount Athos
Loire Valley,Vin de Pays du Val de Loire
Vinho Espumante de Qualidade,Vinho Espumante de Qualidade
New York,Lake Erie
Northern Spain,Arribes del Duero
California,Sonoma County-Monterey County-Santa Barbara County
California,Anderson Valley-Sonoma County-Cole Ranch
Neusiedlersee-Hügelland,Neusiedlersee-Hügelland
Tuscany,Tuscany
Portugal,Portugal
Central Spain,Tierra de Castilla
Traisental,Traisental
Southern Italy,Leverano
Austria,Austria
Bot River,Bot River
South Australia,Clarendon
Sicily & Sardinia,Sardinia
South Australia,Piccadilly Valley
Bordeaux,Entre-Deux-Mers
France Other,France
Piedmont,Monferrato
Northeastern Italy,Teroldego Rotaliano
Languedoc-Roussillon,Limoux
Piedmont,Dolcetto di Dogliani
Wellington,Wellington
Languedoc-Roussillon,Cabardes
Villány,Villány
Rhône Valley,Muscat de Beaumes de Venise
New South Wales,New South Wales
Central Italy,Verdicchio dei Castelli di Jesi Classico Superiore
California,Napa-Mendocino-Sonoma
Piedmont,Gavi
California,Napa-Mendocino-Sonoma-Marin
California,Alta Mesa
Languedoc-Roussillon,Languedoc
Sicily & Sardinia,Alghero
Southern Italy,Aglianico del Beneventano
Neusiedlersee,Neusiedlersee
Piedmont,Dolcetto di Dogliani Superiore
Northeastern Italy,Trentino Superiore
Southern Italy,Primitivo del Tarantino
Piedmont,Gavi di Gavi
Victoria,King Valley
California,Chiles Valley
Epanomi,Epanomi
Languedoc-Roussillon,Minervois
Korinthia,Korinthia
Hungary,Hungary
Loire Valley,Savennières-Coulée de Serrant
Piedmont,Diano d'Alba
Loire Valley,Savennières-Roche-Aux-Moines
Piedmont,Roero Arneis
Sicily & Sardinia,Vermentino di Gallura
Languedoc-Roussillon,Corbières
Lithuania,Lithuania
Sicily & Sardinia,Romangia
Languedoc-Roussillon,Saint-Chinian
Breedekloof,Breedekloof
Kyoto,Kyoto
Southern Italy,Murgia
Franschhoek,Franschhoek
Southwest France,Vin de Pays des Côtes de Gascogne
California,El Dorado County
Mendoza Province,Alto Valle de Uco
Other,Famatina Valley
Ontario,St. David's Bench
California,Napa County-Sonoma County
Sicily & Sardinia,Marsala
Veneto,Bardolino Classico Superiore
Thraki,Thraki
Oregon,Yamhill County
Central Spain,Ribera del Guadiana
Jiri Valley,Jiri Valley
Sicily & Sardinia,Nuragus di Cagliari
Languedoc-Roussillon,Vin de Pays Cité de Carcassonne
Central Italy,Castelli Romani
Veneto,Bardolino Classico
Veneto,Custoza
Cape Agulhas,Cape Agulhas
Southwest France,Vin de Pays du Lot
Massachusetts,Southeastern New England
Veneto,Arcole
Naoussa,Naoussa
Lombardy,Oltrepò Pavese
Veneto,Custoza Superiore
New Jersey,New Jersey
Southwest France,Vin de Pays du Comté Tolosan
Southwest France,Pécharmant
Veneto,Lison-Pramaggiore
California,Monterey-Santa Cruz
Puente Alto,Puente Alto
Klein River,Klein River
Buin,Buin
Veneto,Bardolino
Languedoc-Roussillon,Vin de Pays de L'Herault
Central Italy,Controguerra
Central Italy,Falerio dei Colli Ascolani
Mavrodaphne of Patras,Mavrodaphne of Patras
Central Italy,Montepulciano d'Abruzzo Colline Teramane
Ilias,Ilias
Veneto,Valdadige
Central Italy,Conero
France Other,Vin de Table Francais
Central Italy,Abruzzo
Veneto,Bardolino Chiaretto
Central Italy,Montepulciano d'Abruzzo Cerasuolo
Southern Italy,Castel del Monte
Southern Italy,Calabria
Languedoc-Roussillon,Côtes du Roussillon Villages
Languedoc-Roussillon,Côtes du Roussillon
Southern Italy,Primitivo del Salento
Central Italy,Montefalco Rosso
California,Guenoc Valley
Távora-Varosa,Távora-Varosa
Victoria,Rutherglen
Requinoa,Requinoa
Southern Italy,Terra degli Osci
France Other,Corse
Central Italy,Colline Pescaresi
Central Italy,Cerasuolo d'Abruzzo
Southern Italy,Molise
California,York Mountain
Southern Italy,Tarantino
Languedoc-Roussillon,Vin de Pays des Coteaux de Peyriac
Languedoc-Roussillon,Terrasses du Larzac
Southern Italy,Lacryma Christi del Vesuvio
Colares,Colares
Languedoc-Roussillon,Vin de Pays des Collines de la Moure
Veneto,Amarone della Valpolicella Valpantena
Central Italy,Lacrima di Morro d'Alba
New South Wales,Orange
Veneto,Valpolicella Ripasso Classico
Bordeaux,Pomerol
Bordeaux,Barsac
Veneto,Valpolicella Ripasso Valpantena Superiore
Northern Spain,Tierra de León
Bordeaux,Moulis-en-Médoc
Veneto,Valpolicella
Bordeaux,Listrac-Médoc
Veneto,Valpolicella Classico
Veneto,Valpolicella Valpantena Superiore
Central Spain,Uclés
California,Sonoma County-Santa Barbara County
Ohio,Grand River Valley
Constantia,Constantia
Sicily & Sardinia,Passito di Pantelleria
Northeastern Italy,Friuli
Central Italy,Albana di Romagna
Tuscany,Moscadello di Montalcino
Veneto,Recioto di Soave
Central Italy,Orvieto Classico Superiore
Other,Río Negro Valley
Veneto,Recioto di Soave Classico
Piedmont,Piedmont
Veneto,Recioto della Valpolicella Classico
Peljesac,Peljesac
Australia Other,Central Ranges
Burgundy,Mâcon-Cruzille
Elazığ,Elazığ
Sebes,Sebes
Burgundy,Givry
Tuscany,Vin Santo del Chianti
Piedmont,Loazzolo
Tuscany,Cortona
Veneto,Valdobbiadene Superiore di Cartizze
Piedmont,Strevi
Veneto,Recioto della Valpolicella
Veneto,Recioto della Valpolicella Valpantena
Burgundy,Bourgogne Hautes Côtes de Nuits
Sicily & Sardinia,Malvasia delle Lipari
Burgundy,Chorey-lès-Beaune
Ukraine,Ukraine
California,San Francisco Bay
Burgundy,Vin de Pays de Sainte-Marie la Blanche
Tuscany,Montecucco
Sicily & Sardinia,Moscato di Noto
Piedmont,Asti
Durbanville,Durbanville
South Australia,McLaren Vale-Adelaide Hills
